,average_episode_rewards,algo,step,scenario
20,-0.41400003246963024,BPPO,8400000.0,5_vs_5
21,-0.44399998150765896,BPPO,8800000.0,5_vs_5
22,-0.36200000904500484,BPPO,9200000.0,5_vs_5
23,-0.2099999925121665,BPPO,9600000.0,5_vs_5
24,-0.2520000096410513,BPPO,10000000.0,5_vs_5
25,-0.38999998942017555,BPPO,10400000.0,5_vs_5
26,-0.6680000107735395,BPPO,10800000.0,5_vs_5
27,-0.4459999967366457,BPPO,11200000.0,5_vs_5
28,-0.07600001408718526,BPPO,11600000.0,5_vs_5
29,-0.06000002031214535,BPPO,12000000.0,5_vs_5
30,-0.2899999963119626,BPPO,12400000.0,5_vs_5
31,-0.4339999984949827,BPPO,12800000.0,5_vs_5
32,-0.44800001196563244,BPPO,13200000.0,5_vs_5
33,-0.5400000605732203,BPPO,13600000.0,5_vs_5
34,-0.35200000274926424,BPPO,14000000.0,5_vs_5
35,-0.35200000274926424,BPPO,14400000.0,5_vs_5
36,-0.558000011369586,BPPO,14800000.0,5_vs_5
37,-0.006000001303618774,BPPO,15200000.0,5_vs_5
38,-0.6580000277608633,BPPO,15600000.0,5_vs_5
39,-0.2519999863579869,BPPO,16000000.0,5_vs_5
40,0.017999985720962286,BPPO,16400000.0,5_vs_5
41,0.0539999979082495,BPPO,16800000.0,5_vs_5
42,-0.07999999797903001,BPPO,17200000.0,5_vs_5
43,-0.1500000013038516,BPPO,17600000.0,5_vs_5
44,-0.5380000453442335,BPPO,18000000.0,5_vs_5
45,-0.3120000008493662,BPPO,18400000.0,5_vs_5
46,-0.12600000482052565,BPPO,18800000.0,5_vs_5
47,-0.11800001375377178,BPPO,19200000.0,5_vs_5
48,-0.1980000175535679,BPPO,19600000.0,5_vs_5
49,-0.2520000096410513,BPPO,20000000.0,5_vs_5
0,-1.092000026255846,BPPO,400000.0,5_vs_5
1,-0.3000000026077032,BPPO,800000.0,5_vs_5
2,-0.7719999644905329,BPPO,1200000.0,5_vs_5
